key	value
schema_version	1
contract_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-REVIEW-001
candidate_state	QUALIFIED_NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN
source_design_acceptance_id	SELECTED-PROVIDER-MATERIALIZER-DESIGN-ACCEPT-001
source_design_acceptance_sha256	c9374692defd06e3d25b278e42a3f68a38b0438668afae99154c5cb5ba7de8e6
source_object_plan_sha256	759102d4a209a39119b7bd5a92f1995993e7c302149b11f174d11cd0dd08b0f7
contract_row_count	41
validation_rule_count	24
expected_future_map_row_count	41
current_populated_local_path_count	0
result_index_sha256_row_count	23
append_only_index_receipt_row_count	4
existing_authority_digest_sentinel_row_count	14
contract_sha256	2223af964e74cc8bb221d13e559e49aaf03abe364985346cb1d8e43973c6640e
validation_contract_sha256	0df8d9c7ddc28098ee220ee634a139b04aaa3d241bd36b2a4eb57ef8fbc41198
receipt_schema_sha256	8f7c8d26f7e646e431e6be53526b55ccc3f5c65584b4c2306e9d19544a9396fa
local_supply_map_contract_state	QUALIFIED_CANDIDATE_ACCEPTANCE_OPEN
local_supply_map_state	NOT_PRODUCED_NOT_AUTHORIZED
local_path_discovery_authorized	NO
byte_read_authorized	NO
execution_authorized	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
next_action	review-and-accept-non-mutating-selected-provider-local-supply-map-contract-boundary
authority_effect	QUALIFIED_NON_MUTATING_41_ROW_LOCAL_SUPPLY_MAP_CONTRACT_CANDIDATE_ONLY
prohibited_inference	CONTRACT_QUALIFICATION_DOES_NOT_PRODUCE_A_LOCAL_MAP_OR_AUTHORIZE_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_ROOT_CREATION_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
