contract_row_id	sequence	materializer_plan_row_id	composition_row_id	provider_object_id	provider_review_id	artifact_package	artifact_version	member_basename	expected_member_sha256	expected_member_size_bytes	expected_soname	expected_result_remote	expected_drive_file_id	expected_result_sha256	result_index_contract_kind	expected_result_index_identity	container_class	expected_container_locator	expected_member_locator	expected_object_store_relative_path	expected_generation_regular_relative_path	expected_generation_alias_relative_path	local_path_binding_state	local_regular_file_path	future_local_path_rule	future_file_type_rule	future_symlink_rule	future_owner_rule	future_mode_rule	future_identity_stability_rule	future_content_rule	future_elf_rule	future_map_row_state	acceptance_gate	authority_effect	prohibited_inference
LSM-CONTRACT-001	1	MAT-OBJ-001	COMP-XORG-PROV-002	object:1f478bf11bbe2182f1316611	XORG-PROV-002	libxcomposite-glibc	0.4.6	libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	70816	libXcomposite.so.1	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxcomposite-glibc_0.4.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	objects/sha256/1f/1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	lib/libXcomposite.so.1.0.0	lib/libXcomposite.so.1	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-002	2	MAT-OBJ-002	COMP-LIBXCURSOR-PROV-001	object:86e70b94186edb4c16cf00f2	LIBXCURSOR-PROV-001	libxcursor-glibc	1.2.3	libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	77288	libXcursor.so.1	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxcursor-glibc_1.2.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	objects/sha256/86/86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	lib/libXcursor.so.1.0.2	lib/libXcursor.so.1	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-003	3	MAT-OBJ-003	COMP-LIBXDAMAGE-PROV-001	object:391916aff0965656e7b81ece	LIBXDAMAGE-PROV-001	libxdamage-glibc	1.1.6	libXdamage.so.1.1.0	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	70712	libXdamage.so.1	sha256:462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	-	462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libXdamage.so.1.1.0	objects/sha256/39/391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	lib/libXdamage.so.1.1.0	lib/libXdamage.so.1	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-004	4	MAT-OBJ-004	COMP-XORG-PROV-001	object:271e82cbc4aa3db8ff36ad44	XORG-PROV-001	libxfixes-glibc	6.0.1	libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	72968	libXfixes.so.3	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxfixes-glibc_6.0.1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	objects/sha256/27/271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	lib/libXfixes.so.3.1.0	lib/libXfixes.so.3	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-005	5	MAT-OBJ-005	COMP-XORG-PROV-003	object:6f50cad56bb44c7900e69269	XORG-PROV-003	libxi-glibc	1.8.2	libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	146048	libXi.so.6	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxi-glibc_1.8.2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	objects/sha256/6f/6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	lib/libXi.so.6.1.0	lib/libXi.so.6	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-006	6	MAT-OBJ-006	COMP-XORG-PROV-004	object:bff931629d90ef6858b43e6f	XORG-PROV-004	libxinerama-glibc	1.1.5	libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	70832	libXinerama.so.1	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxinerama-glibc_1.1.5_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	objects/sha256/bf/bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	lib/libXinerama.so.1.0.0	lib/libXinerama.so.1	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-007	7	MAT-OBJ-007	COMP-ATSPI2-CORE-PROV-001-1	object:55c9c8a3767258bcc1d25640	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	198592	libatk-1.0.so.0	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatk-1.0.so.0.25611.1	objects/sha256/55/55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	lib/libatk-1.0.so.0.25611.1	lib/libatk-1.0.so.0	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-008	8	MAT-OBJ-008	COMP-ATSPI2-CORE-PROV-001-2	object:cce78fd50cb5b3a19bdc0461	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	267840	libatk-bridge-2.0.so.0	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatk-bridge-2.0.so.0.0.0	objects/sha256/cc/cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	lib/libatk-bridge-2.0.so.0.0.0	lib/libatk-bridge-2.0.so.0	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-009	9	MAT-OBJ-009	COMP-ATSPI2-CORE-PROV-001-3	object:e94f2980cf8580634d7ab3c4	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	330072	libatspi.so.0	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatspi.so.0.0.1	objects/sha256/e9/e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	lib/libatspi.so.0.0.1	lib/libatspi.so.0	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
LSM-CONTRACT-010	10	MAT-OBJ-010	COMP-GDKPIXBUF-UTIL-PROV-001-2	object:21d47963d42a5b1c4008c88a	GDKPIXBUF-UTIL-PROV-001	libblkid-glibc	2.40.2-1	libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	396208	libblkid.so.1	sha256:a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	-	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	objects/sha256/21/21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	lib/libblkid.so.1.1.0	lib/libblkid.so.1	UNBOUND_CONTRACT_ONLY		SEPARATE_AUTHORIZED_READ_ONLY_LOCALIZATION_RECEIPT_SUPPLIES_ONE_ABSOLUTE_CANONICAL_PATH_NO_GLOB_SEARCH_OR_VARIABLE_EXPANSION	LSTAT_AND_FSTAT_REGULAR_FILE_ONLY_OPEN_RDONLY_CLOEXEC_NOFOLLOW	LSTAT_EACH_COMPONENT_REJECT_ANY_SYMLINK_FINAL_PATH_O_NOFOLLOW_AND_DEV_INO_MATCH	ST_UID_EQUALS_LOCALIZATION_TRANSACTION_UID	GROUP_AND_OTHER_WRITE_BITS_MUST_BE_ZERO	DEV_INO_SIZE_MTIME_NS_CTIME_NS_STABLE_BEFORE_OPEN_AFTER_OPEN_AND_AFTER_HASH	EXACT_SIZE_AND_STREAMED_SHA256_MUST_MATCH_CONTRACT	ELF64_LITTLE_ENDIAN_AARCH64_ET_DYN_AND_EXACT_DT_SONAME	SCHEMA_QUALIFIED_NOT_POPULATED	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPTANCE-OPEN	NON_MUTATING_LOCAL_SUPPLY_MAP_CONTRACT_ROW_ONLY_NO_LOCAL_PATH_OR_BYTE_AUTHORITY	CONTRACT_ROW_DOES_NOT_PRODUCE_OR_AUTHORIZE_LOCAL_PATH_SEARCH_BYTE_READ_DOWNLOAD_EXTRACTION_EXECUTION_OBJECT_STORE_GENERATION_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
