coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	synthetic_case	current_state	authority_effect
INPUT	LSME-IN-001	1	validate_input_contract_acceptance	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-002	2	validate_input_contract_rows	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-003	3	validate_input_validation_rules	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-004	4	validate_input_receipt_schema	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-005	5	validate_input_execution_authorization_token	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-006	6	validate_input_local_coordinate_receipt	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-007	7	validate_input_repository_baseline	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-008	8	validate_input_remote_baseline	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-009	9	validate_input_protected_state_snapshot	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-010	10	validate_input_executor_identity	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-011	11	validate_input_toolchain_capabilities	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
INPUT	LSME-IN-012	12	validate_input_evidence_output_root	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-001	1	state_init	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-002	2	state_authorization_verified	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-003	3	state_baseline_verified	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-004	4	state_contract_verified	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-005	5	state_coordinates_verified	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
STATE	LSME-ST-006	6	state_protected_before	SYNTHETIC_TEXT_MODEL_ONLY	success	MAPPED_SYNTHETIC_NOT_EXECUTED	ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
