key	value
schema_version	1
implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-EVIDENCE-TRANSACTION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_SYNTHETIC_READ_ONLY_LOCAL_SUPPLY_MAP_EVIDENCE_TRANSACTION_IMPLEMENTATION_CANDIDATE
implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-EVIDENCE-TRANSACTION-IMPLEMENTATION-ACCEPTANCE-OPEN
design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-EVIDENCE-TRANSACTION-DESIGN-ACCEPT-001
design_acceptance_sha256	1f60ec5983807d3f0f7527b11db953bf446eed39e1e526df21ad2f6a2812f8dd
implementation_source_sha256	8c3e0cb0866e7d40807126a65130b1fd654db50241af1758a1397735fd513b42
synthetic_fixture_sha256	b19929b19de45d9c6147060f9025dbbff13ce662cc7eeeff7bec3f178aeef020
synthetic_negative_cases_sha256	b2a8047076502b30fca2b659b16b9ce4d741523a72175a828d5774aa105a7c82
implementation_coverage_sha256	8fe3cf19c7cace1f9e7087b51551caa7a86c75c5300d3f586da32a003b0ae785
synthetic_success_sha256	1aa5d18db7f0ca871bb7a1925ef96d35c82a15d8b445c2cd648de61e7ff26efb
input_coverage_count	12
state_coverage_count	16
operation_coverage_count	32
failure_coverage_count	18
total_coverage_count	78
inherited_validation_rule_count	24
synthetic_success_case_count	1
synthetic_negative_case_count	18
synthetic_coordinate_row_count	41
synthetic_coordinate_row_field_count	10
synthetic_provider_open_count	0
synthetic_provider_read_count	0
synthetic_write_count	0
current_authorized_coordinate_count	0
current_provider_read_count	0
current_write_count	0
current_live_authority_count	0
local_supply_map_produced	NO
implementation_execution_mode	SYNTHETIC_REPOSITORY_FIXTURE_ONLY_TEXT_MODEL_NO_PROVIDER_OPEN_OR_READ
provider_read_operations	MODELED_ONLY_NOT_EXECUTED
evidence_transaction_execution_authorized	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
execution_authorization_issuance_authorized	NO
replay_persistence_performed	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_IMPLEMENTATION_SOURCE_FIXTURE_COVERAGE_SERIALIZATION_PROVIDER_READ_MODEL_OUTPUT_OR_AUTHORITY_CHANGE_REQUIRES_NEW_IMPLEMENTATION_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_IMPLEMENTATION_CANDIDATE_ONLY_NO_PROVIDER_PATH_READ_WRITE_OR_RUNTIME_STATE_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-map-evidence-transaction-implementation-candidate-boundary
authority_effect	SYNTHETIC_ONLY_EVIDENCE_TRANSACTION_IMPLEMENTATION_CANDIDATE_78_COVERAGE_1_SUCCESS_18_FAIL_CLOSED_41_SYNTHETIC_ROWS_ZERO_PROVIDER_OPENS_READS_WRITES_LIVE_AUTHORITY
prohibited_inference	IMPLEMENTATION_REVIEW_DOES_NOT_AUTHORIZE_LIVE_INPUTS_DISCOVERY_PROVIDER_OPEN_OR_READ_RECEIPT_PRODUCTION_LOCAL_MAP_ACCEPTANCE_REPLAY_PERSISTENCE_GENERATION_ROOT_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
