key	value
review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-PRODUCTION-REVIEW-001
decision	QUALIFIED_EXACT_41_ROW_LOCAL_SUPPLY_MAP_PRODUCTION_PROMOTION_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-PRODUCTION-ACCEPTANCE-OPEN
result_archive_sha256	f7112a196f715e729460b27a1ef57922b70bb2a3cff1251f308dd543c8538675
result_archive_size_bytes	16674
result_drive_file_id	1uwwJkyhiZKGyTMc4wfZ74WoPieSrXjGp
transaction_id	LSM-PROD-20260801T001839Z
generated_at_utc	2026-08-01T00:18:39Z
repository_head	062e08c1cd9c9f17e88d2631f3e9e66dff232645
repository_tree	d1ce96b5a480c7017d79636cfa994cd21155b8bd
remote_head	062e08c1cd9c9f17e88d2631f3e9e66dff232645
owner_statement_sha256	0a68ff343e98680b6409f603dc67d6b578e859fb0013abb7e2f4bc580c2d68f0
owner_transaction_accounting	1/1/0
source_archive_count	9
byte_carrier_count	33
provider_member_count	41
provider_byte_count	29047112
isolated_provider_open_read_count	41/41
localization_mode	exact-v151-isolated-provider-member-reuse
map_file_sha256	ae8d9bdd0b26d084a54e6689b9088a140f0bf19aef62df9ab5c68e4cd8a37375
map_receipt_sha256	fc5c6d8cc28aee4b0f1c7b4a8ec229fe2a6b9b4fe8f88f04b2dfd6fcb7b77cdd
validation_rule_count	24
validation_pass_count	24
atomic_family_count	4
local_supply_map_count	1
target_population_authorized	false
materialization_authorized	false
publication_authorized	false
deployment_authorized	false
activation_authorized	false
live_authority_count	0
next_action	review-and-accept-selected-provider-local-supply-map-production-boundary
source_object_plan_sha256	759102d4a209a39119b7bd5a92f1995993e7c302149b11f174d11cd0dd08b0f7
validation_contract_sha256	0df8d9c7ddc28098ee220ee634a139b04aaa3d241bd36b2a4eb57ef8fbc41198
contract_sha256	2223af964e74cc8bb221d13e559e49aaf03abe364985346cb1d8e43973c6640e
authorization_token_sha256	735e9fdd395fdfad685d14efb914c1cad8ec365e38f98218809bb180375cc86b
execution_authorization_sha256	7cead4b75aaf8fc7134378fb4b0650bc624ae837eda18c49f072ff7a5c81ec13
coordinate_receipt_sha256	8ffab5f953cc1b8013e575e1a882e8bb048b462289872a9778d51da0839f2169
