sequence	contract_row_id	materializer_plan_row_id	provider_object_id	local_regular_file_path	observed_member_sha256	st_size	observed_soname	elf_class	elf_data	elf_machine	elf_type	result_remote	result_sha256	result_index_contract_kind	result_index_identity	container_class	container_locator	member_locator	validation_state	st_uid	st_mode	st_dev	st_ino	st_mtime_ns	st_ctime_ns
1	LSM-CONTRACT-001	MAT-OBJ-001	object:1f478bf11bbe2182f1316611	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/01-1f478bf11bbe2182/libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	70816	libXcomposite.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxcomposite-glibc_0.4.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2567760	1785514893348547880	1785514893348547880
2	LSM-CONTRACT-002	MAT-OBJ-002	object:86e70b94186edb4c16cf00f2	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/02-86e70b94186edb4c/libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	77288	libXcursor.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxcursor-glibc_1.2.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2567852	1785514893800547879	1785514893800547879
3	LSM-CONTRACT-003	MAT-OBJ-003	object:391916aff0965656e7b81ece	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/03-391916aff0965656/libXdamage.so.1.1.0	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	70712	libXdamage.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libXdamage.so.1.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583137	1785514899924547877	1785514899924547877
4	LSM-CONTRACT-004	MAT-OBJ-004	object:271e82cbc4aa3db8ff36ad44	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/04-271e82cbc4aa3db8/libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	72968	libXfixes.so.3	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxfixes-glibc_6.0.1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2567884	1785514893932547879	1785514893932547879
5	LSM-CONTRACT-005	MAT-OBJ-005	object:6f50cad56bb44c7900e69269	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/05-6f50cad56bb44c79/libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	146048	libXi.so.6	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxi-glibc_1.8.2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2567977	1785514894076547879	1785514894076547879
6	LSM-CONTRACT-006	MAT-OBJ-006	object:bff931629d90ef6858b43e6f	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/06-bff931629d90ef68/libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	70832	libXinerama.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libxinerama-glibc_1.1.5_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568009	1785514894216547879	1785514894216547879
7	LSM-CONTRACT-007	MAT-OBJ-007	object:55c9c8a3767258bcc1d25640	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/07-55c9c8a3767258bc/libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	198592	libatk-1.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatk-1.0.so.0.25611.1	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583293	1785514900088547877	1785514900088547877
8	LSM-CONTRACT-008	MAT-OBJ-008	object:cce78fd50cb5b3a19bdc0461	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/08-cce78fd50cb5b3a1/libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	267840	libatk-bridge-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatk-bridge-2.0.so.0.0.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583296	1785514900196547877	1785514900196547877
9	LSM-CONTRACT-009	MAT-OBJ-009	object:e94f2980cf8580634d7ab3c4	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/09-e94f2980cf858063/libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	330072	libatspi.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libatspi.so.0.0.1	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583298	1785514900292547877	1785514900292547877
10	LSM-CONTRACT-010	MAT-OBJ-010	object:21d47963d42a5b1c4008c88a	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/10-21d47963d42a5b1c/libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	396208	libblkid.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583301	1785514900380547877	1785514900380547877
