key	value
schema_version	1
review_id	INDEXED-REPLACEMENT-MEMBER-SIZE-REVIEW-001
decision	INTERVENTION_RETAINED_ALL_COORDINATE_AND_INDEX_GAPS_CLOSED_ONE_MEMBER_SIZE_OPEN
concrete_object_count	41
existing_digest_bound_count	14
v101_indexed_replacement_count	23
append_only_legacy_index_upgrade_count	4
remaining_coordinate_gap_count	0
remaining_result_index_gap_count	0
exact_member_size_count	40
open_member_size_count	1
open_member_size_provider	PIXMAN-CAIRO-PREQ-PROV-001
known_exact_member_bytes	28586192
known_100_percent_margin_lower_bound_bytes	57172384
receipt_overhead_state	NOT_YET_CENSUSED
final_resource_budget_state	BLOCKED_ONE_MEMBER_SIZE_AND_RECEIPT_OVERHEAD_OPEN
intervention_state	RETAINED
population_authorized	NO
materializer_design_authorized	NO
byte_acquisition_authorized	NO
generation_root_creation_authorized	NO
next_action	close-exact-pixman-member-size-and-review-population-intervention-lift-gate
authority_effect	READ_ONLY_INDEX_AND_SIZE_REVIEW_ONLY_NO_ACQUISITION_EXTRACTION_COPY_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
