alias_target_record_id	alias_relative_path	concrete_target_record_id	concrete_relative_path	alias_class	alias_target_basename	resolution_state	authority_effect
target:429a6f82160121ad17ee7c15	lib/libXcomposite.so.1	target:d31039e81209d7fb822967f9	lib/libXcomposite.so.1.0.0	SONAME_RUNTIME_ALIAS	libXcomposite.so.1.0.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:8489df5477644d8b0d488546	lib/libXcursor.so.1	target:cd1801ed7cf969f18b90e041	lib/libXcursor.so.1.0.2	SONAME_RUNTIME_ALIAS	libXcursor.so.1.0.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:dde4fde62372f4f32cfe1520	lib/libXdamage.so.1	target:ef8ea0f216cc9a5c796a1c3e	lib/libXdamage.so.1.1.0	SONAME_RUNTIME_ALIAS	libXdamage.so.1.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:5c219ab0df1f9f4814d2076e	lib/libXfixes.so.3	target:8c98f37d20467a58d4c49991	lib/libXfixes.so.3.1.0	SONAME_RUNTIME_ALIAS	libXfixes.so.3.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:c7628d0a964897f18eb9ffac	lib/libXi.so.6	target:af31c4cf3e5ca317a397932a	lib/libXi.so.6.1.0	SONAME_RUNTIME_ALIAS	libXi.so.6.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:f4aa7e28a1c86cd7b008108e	lib/libXinerama.so.1	target:0aa893e3f9ebb8e90ced7803	lib/libXinerama.so.1.0.0	SONAME_RUNTIME_ALIAS	libXinerama.so.1.0.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:f88821cf169a28ecdd6b5553	lib/libatk-1.0.so.0	target:9f4cd18d0312092b2a83f6cd	lib/libatk-1.0.so.0.25611.1	SONAME_RUNTIME_ALIAS	libatk-1.0.so.0.25611.1	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:878ba62a082852a012b33c3a	lib/libatk-bridge-2.0.so.0	target:2f866e139cb66d2823e83a99	lib/libatk-bridge-2.0.so.0.0.0	SONAME_RUNTIME_ALIAS	libatk-bridge-2.0.so.0.0.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:8269e41eae01e8513022edb4	lib/libatspi.so.0	target:3424a4301b22e6aa698ad4aa	lib/libatspi.so.0.0.1	SONAME_RUNTIME_ALIAS	libatspi.so.0.0.1	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:1e4cb874e1c15801780f0df0	lib/libblkid.so.1	target:133df62c28a1960a60e16b9b	lib/libblkid.so.1.1.0	SONAME_RUNTIME_ALIAS	libblkid.so.1.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:6872ab15c55fc7d9ce0333aa	lib/libbrotlicommon.so.1	target:5c98e98cd68965578b006086	lib/libbrotlicommon.so.1.1.0	SONAME_RUNTIME_ALIAS	libbrotlicommon.so.1.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:abda5b290a10c4c2a459278c	lib/libbrotlidec.so.1	target:f8001b103c34411d93135b92	lib/libbrotlidec.so.1.1.0	SONAME_RUNTIME_ALIAS	libbrotlidec.so.1.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:9e0c641a45e9be0f4b94a5ad	lib/libbz2.so.1.0	target:f7728cbe54d8b8951d2dfb08	lib/libbz2.so.1.0.8	SONAME_RUNTIME_ALIAS	libbz2.so.1.0.8	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:7e1900371931f39a66d1a18e	lib/libcairo-gobject.so.2	target:c26ba4d4577e8adda59f2832	lib/libcairo-gobject.so.2.11802.2	SONAME_RUNTIME_ALIAS	libcairo-gobject.so.2.11802.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:5b0786f80398f0d309af47cc	lib/libcairo.so.2	target:573602d5088f51c0db543d16	lib/libcairo.so.2.11802.2	SONAME_RUNTIME_ALIAS	libcairo.so.2.11802.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:66c132f693d45def7b513ec7	lib/libcloudproviders.so.0	target:005f2e7bbf370639d58dbe63	lib/libcloudproviders.so.0.3.6	SONAME_RUNTIME_ALIAS	libcloudproviders.so.0.3.6	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:2c8acecaa2fff0e83df188c7	lib/libdatrie.so.1	target:9070544f59ddfecd7601337e	lib/libdatrie.so.1.4.0	SONAME_RUNTIME_ALIAS	libdatrie.so.1.4.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:1bb3a5ae9878160adf47760b	lib/libepoxy.so.0	target:329a3ff402732bf9b5820714	lib/libepoxy.so.0.0.0	SONAME_RUNTIME_ALIAS	libepoxy.so.0.0.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:1d87b2af7bad1b115bb0cd82	lib/libfontconfig.so.1	target:c18ed563af460c16e1111e8d	lib/libfontconfig.so.1.14.0	SONAME_RUNTIME_ALIAS	libfontconfig.so.1.14.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:4c3bedce462b4f91ea32dbb2	lib/libfreetype.so.6	target:3394da9fcce301a8c16aee88	lib/libfreetype.so.6.20.2	SONAME_RUNTIME_ALIAS	libfreetype.so.6.20.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:a98006d4e2e1fcae5090548e	lib/libfribidi.so.0	target:38d3ab5462f264dce71c4216	lib/libfribidi.so.0.4.0	SONAME_RUNTIME_ALIAS	libfribidi.so.0.4.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:3cbb774441635678bcdf9e5a	lib/libgdk-3.so.0	target:1b80df3b86c8202fb201faaf	lib/libgdk-3.so.0.2417.32	SONAME_RUNTIME_ALIAS	libgdk-3.so.0.2417.32	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:84b14bfb8944552ba5d2a9f2	lib/libgdk_pixbuf-2.0.so.0	target:73c640fecbb3345aa84fc81c	lib/libgdk_pixbuf-2.0.so.0.4200.12	SONAME_RUNTIME_ALIAS	libgdk_pixbuf-2.0.so.0.4200.12	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:c1b427dfacfb13dede0c59e7	lib/libgio-2.0.so.0	target:5f1efdb9e4b811df6cbf9da6	lib/libgio-2.0.so.0.8200.2	SONAME_RUNTIME_ALIAS	libgio-2.0.so.0.8200.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:14608e97bc2bce3b7888d550	lib/libglib-2.0.so.0	target:61d61f76f2b901c215702f5b	lib/libglib-2.0.so.0.8200.2	SONAME_RUNTIME_ALIAS	libglib-2.0.so.0.8200.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:7815b37248620000e4bd1471	lib/libgmodule-2.0.so.0	target:08eec3778dec1338c7981759	lib/libgmodule-2.0.so.0.8200.2	SONAME_RUNTIME_ALIAS	libgmodule-2.0.so.0.8200.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:29e9e1cbeab1df8720be873f	lib/libgobject-2.0.so.0	target:9dfb4d631edd8df1062d2069	lib/libgobject-2.0.so.0.8200.2	SONAME_RUNTIME_ALIAS	libgobject-2.0.so.0.8200.2	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:fe3b723fefc623fc2a408f75	lib/libgraphite2.so.3	target:c302633d225b5c9f2d0f73f8	lib/libgraphite2.so.3.2.1	SONAME_RUNTIME_ALIAS	libgraphite2.so.3.2.1	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:cd025d264c616e79a3a935b6	lib/libgtk-3.so.0	target:bea7c0476e505e69bc50c2c7	lib/libgtk-3.so.0.2417.32	SONAME_RUNTIME_ALIAS	libgtk-3.so.0.2417.32	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:048e0cea68e9d96488783fbe	lib/libharfbuzz.so.0	target:21329e88a796d798d49fd60e	lib/libharfbuzz.so.0.61010.0	SONAME_RUNTIME_ALIAS	libharfbuzz.so.0.61010.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:520ebf033c7c970f0bf28486	lib/libiconv.so.2	target:02f8acaf37dfcf215c5fdc65	lib/libiconv.so.2.7.0	SONAME_RUNTIME_ALIAS	libiconv.so.2.7.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:e09c67e196f68a0d0eac201f	lib/libjpeg.so.62	target:34e6bbeb6bd0c6df46997cf6	lib/libjpeg.so.62.4.0	SONAME_RUNTIME_ALIAS	libjpeg.so.62.4.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:083b78b0a98f46146fbe091f	lib/libmount.so.1	target:ee4da2a374c71365d07e6316	lib/libmount.so.1.1.0	SONAME_RUNTIME_ALIAS	libmount.so.1.1.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:896daea10222a8848bc69c10	lib/libpango-1.0.so.0	target:ff311aa868bc8a47c092d0b3	lib/libpango-1.0.so.0.5400.0	SONAME_RUNTIME_ALIAS	libpango-1.0.so.0.5400.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:d17aee77b9ae969a6e8c4700	lib/libpangocairo-1.0.so.0	target:d66cd819c6d8a9aa176b46fe	lib/libpangocairo-1.0.so.0.5400.0	SONAME_RUNTIME_ALIAS	libpangocairo-1.0.so.0.5400.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:12a0a18a17bf9beb4f2a250f	lib/libpangoft2-1.0.so.0	target:24ba284ee6a397f0f190d577	lib/libpangoft2-1.0.so.0.5400.0	SONAME_RUNTIME_ALIAS	libpangoft2-1.0.so.0.5400.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:a0b09b6cf9e1c2f3ea0870a6	lib/libpixman-1.so.0	target:31d8501d6ded368d9eeebb21	lib/libpixman-1.so.0.46.4	SONAME_RUNTIME_ALIAS	libpixman-1.so.0.46.4	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:b0f2a4d34f71b54e6e3b1ea5	lib/libpng16.so.16	target:dcd68e6d40cf802738618d34	lib/libpng16.so.16.47.0	SONAME_RUNTIME_ALIAS	libpng16.so.16.47.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:5225d1ced89f7cb613c4a218	lib/libthai.so.0	target:d74d07ea50e4d3e947dcfa9c	lib/libthai.so.0.3.1	SONAME_RUNTIME_ALIAS	libthai.so.0.3.1	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:5dea0e0eaa1cd938e28cc279	lib/libxkbcommon.so.0	target:831193a380b0e3810f64c0d9	lib/libxkbcommon.so.0.8.0	SONAME_RUNTIME_ALIAS	libxkbcommon.so.0.8.0	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
target:2f3e00902f12461e31ec9c21	lib/libz.so.1	target:60105eb10d279bc03543febe	lib/libz.so.1.3.1	SONAME_RUNTIME_ALIAS	libz.so.1.3.1	RESOLVED_TO_EXACT_INCLUDED_CONCRETE_MEMBER	REVIEWED_RELATION_ONLY_NO_SYMLINK_CREATED
