key	value
schema_version	1
review_id	SELECTED-TARGET-MANIFEST-REVIEW-001
application_composition_id	SELECTED-COMPOSITION-ACCEPT-001
decision	QUALIFIED_NON_MUTATING_SELECTED_TARGET_MANIFEST
composition_member_count	42
included_concrete_member_count	41
deferred_member_count	1
target_manifest_row_count	82
regular_target_row_count	41
soname_alias_target_row_count	41
unique_target_path_count	82
target_path_collision_count	0
unresolved_alias_count	0
target_domain	SHARED_PROVIDER
target_relative_root	lib
authority_acceptance_state	PROVISIONAL_BLOCKED
population_state	UNPOPULATED_SCHEMA_ONLY
target_population_authorized	NO
materialization_authorized	NO
deployment_authorized	NO
activation_authorized	NO
next_review_tranche	NON_MUTATING_SELECTED_TARGET_MANIFEST_BOUNDARY_ACCEPTANCE
authority_effect	DETERMINISTIC_TARGET_REVIEW_ONLY_NO_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
