provider_object_id	composition_row_id	provider_review_id	recipe_root	artifact_package	artifact_version	member_basename	member_sha256	soname	binding_state	authority_effect
object:55c9c8a3767258bcc1d25640	COMP-ATSPI2-CORE-PROV-001-1	ATSPI2-CORE-PROV-001	gpkg/at-spi2-core	at-spi2-core-glibc	2.56.2	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	libatk-1.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:cce78fd50cb5b3a19bdc0461	COMP-ATSPI2-CORE-PROV-001-2	ATSPI2-CORE-PROV-001	gpkg/at-spi2-core	at-spi2-core-glibc	2.56.2	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	libatk-bridge-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:e94f2980cf8580634d7ab3c4	COMP-ATSPI2-CORE-PROV-001-3	ATSPI2-CORE-PROV-001	gpkg/at-spi2-core	at-spi2-core-glibc	2.56.2	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	libatspi.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:43cd64f07e1c33e5bd574fe7	COMP-CAIRO-PROV-001-1	CAIRO-PROV-001	gpkg/libcairo	libcairo-glibc	1.18.2	libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	libcairo.so.2	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:2440680a9d0c94d58d87d591	COMP-CAIRO-PROV-001-2	CAIRO-PROV-001	gpkg/libcairo	libcairo-glibc	1.18.2	libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	libcairo-gobject.so.2	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:33769b91e5bc82e4453766c9	COMP-FONTCONFIG-PROV-001	FONTCONFIG-PROV-001	gpkg/fontconfig	fontconfig-glibc	2.15.0-1	libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	libfontconfig.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:04723b724b36bd516936461d	COMP-FREETYPE-PROV-001	FREETYPE-PROV-001	gpkg/freetype	freetype-glibc	2.13.3	libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	libfreetype.so.6	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:46ae61c88b9a2f32b13dfe81	COMP-FREETYPE-TRANSITIVE-BROTLI-COMMON-001	FREETYPE-TRANSITIVE-BROTLI-COMMON-001	gpkg/brotli	brotli-glibc	1.1.0	libbrotlicommon.so.1.1.0	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	libbrotlicommon.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:8faac8e6d945bf1d5f113d98	COMP-FREETYPE-TRANSITIVE-BROTLI-DEC-001	FREETYPE-TRANSITIVE-BROTLI-DEC-001	gpkg/brotli	brotli-glibc	1.1.0	libbrotlidec.so.1.1.0	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	libbrotlidec.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:93de8c4bb245b253dfc35734	COMP-FREETYPE-TRANSITIVE-LIBBZ2-001	FREETYPE-TRANSITIVE-LIBBZ2-001	gpkg/libbz2	libbz2-glibc	1.0.8-3	libbz2.so.1.0.8	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	libbz2.so.1.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
