target_record_id	application_composition_id	provider_object_id	application_identity_key	supply_artifact_id	source_artifact_member_path	target_domain	target_relative_path	target_node_type	target_mode_policy	target_owner_policy	target_mutability	target_alias_class	target_collision_policy	update_domain	rollback_domain	validation_gate_ids	authority_issue_ids	authority_acceptance_state	population_state
target:429a6f82160121ad17ee7c15	SELECTED-COMPOSITION-ACCEPT-001	object:1f478bf11bbe2182f1316611	-	-	-	SHARED_PROVIDER	lib/libXcomposite.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:d31039e81209d7fb822967f9	SELECTED-COMPOSITION-ACCEPT-001	object:1f478bf11bbe2182f1316611	-	-	-	SHARED_PROVIDER	lib/libXcomposite.so.1.0.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:8489df5477644d8b0d488546	SELECTED-COMPOSITION-ACCEPT-001	object:86e70b94186edb4c16cf00f2	-	-	-	SHARED_PROVIDER	lib/libXcursor.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:cd1801ed7cf969f18b90e041	SELECTED-COMPOSITION-ACCEPT-001	object:86e70b94186edb4c16cf00f2	-	-	-	SHARED_PROVIDER	lib/libXcursor.so.1.0.2	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:dde4fde62372f4f32cfe1520	SELECTED-COMPOSITION-ACCEPT-001	object:391916aff0965656e7b81ece	-	-	-	SHARED_PROVIDER	lib/libXdamage.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:ef8ea0f216cc9a5c796a1c3e	SELECTED-COMPOSITION-ACCEPT-001	object:391916aff0965656e7b81ece	-	-	-	SHARED_PROVIDER	lib/libXdamage.so.1.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:5c219ab0df1f9f4814d2076e	SELECTED-COMPOSITION-ACCEPT-001	object:271e82cbc4aa3db8ff36ad44	-	-	-	SHARED_PROVIDER	lib/libXfixes.so.3	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:8c98f37d20467a58d4c49991	SELECTED-COMPOSITION-ACCEPT-001	object:271e82cbc4aa3db8ff36ad44	-	-	-	SHARED_PROVIDER	lib/libXfixes.so.3.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:c7628d0a964897f18eb9ffac	SELECTED-COMPOSITION-ACCEPT-001	object:6f50cad56bb44c7900e69269	-	-	-	SHARED_PROVIDER	lib/libXi.so.6	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:af31c4cf3e5ca317a397932a	SELECTED-COMPOSITION-ACCEPT-001	object:6f50cad56bb44c7900e69269	-	-	-	SHARED_PROVIDER	lib/libXi.so.6.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
