key	value
schema_version	1
design_review_id	SELECTED-PROVIDER-MATERIALIZER-DESIGN-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_READ_ONLY_DESIGN_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-MATERIALIZER-DESIGN-ACCEPTANCE-OPEN
source_input_count	13
object_plan_row_count	41
state_machine_row_count	20
operation_contract_row_count	24
runtime_preflight_row_count	20
verification_contract_row_count	18
publication_recovery_row_count	11
target_row_count	82
regular_object_count	41
alias_count	41
atomic_family_count	4
exact_member_bytes	29047112
receipt_reservation_bytes	1048576
final_resource_preflight_bytes	59142800
generation_base	/data/data/com.termux/files/home/.local/state/termux-native-desktop/selected-provider-runtime
object_store_rule	objects/sha256/<first-two-hex>/<full-member-sha256>
copy_policy	HARDLINK_ONLY_FROM_VERIFIED_CONTENT_ADDRESS_STORE_NO_COPY_FALLBACK
local_supply_interface	SEPARATE_FUTURE_41_ROW_LOCAL_READ_ONLY_SUPPLY_MAP_REQUIRED
design_json_sha256	323d834e58397364561a4b89f4b344a9633e4f3c472728e75e5b620017db44be
design_json_bytes	195029
design_acceptance_state	OPEN_SEPARATE_ACCEPTANCE_REQUIRED
execution_authorized	NO
target_population_authorized	NO
byte_acquisition_authorized	NO
generation_root_creation_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
next_action	review-and-accept-read-only-selected-provider-materializer-runtime-preflight-design-boundary
authority_effect	QUALIFIED_NON_EXECUTING_READ_ONLY_DESIGN_CANDIDATE_ONLY
prohibited_inference	DESIGN_QUALIFICATION_DOES_NOT_AUTHORIZE_LOCALIZATION_DOWNLOAD_BYTE_READ_EXTRACTION_ROOT_CREATION_OBJECT_STORE_OR_GENERATION_WRITE_HARDLINK_SYMLINK_RECEIPT_SELECTOR_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
