plan_row_id	sequence	composition_row_id	provider_object_id	provider_review_id	artifact_package	artifact_version	member_basename	member_sha256	member_size_bytes	soname	target_relative_path	alias_relative_path	alias_target_basename	atomic_family_id	supply_closure_kind	supply_result_remote	supply_drive_file_id	supply_result_sha256	supply_result_index_sha256	artifact_evidence_path	member_evidence_path	object_store_relative_path	generation_regular_relative_path	generation_alias_relative_path	localization_requirement	object_materialization_policy	alias_policy	design_state	authority_effect	prohibited_inference
MAT-OBJ-001	1	COMP-XORG-PROV-002	object:1f478bf11bbe2182f1316611	XORG-PROV-002	libxcomposite-glibc	0.4.6	libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	70816	libXcomposite.so.1	lib/libXcomposite.so.1.0.0	lib/libXcomposite.so.1	libXcomposite.so.1.0.0	SINGLE-object:1f478bf11bbe2182f1316611	V101_INDEXED_REPLACEMENT	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	candidate/private-gtk-active-dependency-packages/libxcomposite-glibc_0.4.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	objects/sha256/1f/1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	lib/libXcomposite.so.1.0.0	lib/libXcomposite.so.1	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-002	2	COMP-LIBXCURSOR-PROV-001	object:86e70b94186edb4c16cf00f2	LIBXCURSOR-PROV-001	libxcursor-glibc	1.2.3	libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	77288	libXcursor.so.1	lib/libXcursor.so.1.0.2	lib/libXcursor.so.1	libXcursor.so.1.0.2	SINGLE-object:86e70b94186edb4c16cf00f2	V101_INDEXED_REPLACEMENT	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	candidate/private-gtk-active-dependency-packages/libxcursor-glibc_1.2.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	objects/sha256/86/86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	lib/libXcursor.so.1.0.2	lib/libXcursor.so.1	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-003	3	COMP-LIBXDAMAGE-PROV-001	object:391916aff0965656e7b81ece	LIBXDAMAGE-PROV-001	libxdamage-glibc	1.1.6	libXdamage.so.1.1.0	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	70712	libXdamage.so.1	lib/libXdamage.so.1.1.0	lib/libXdamage.so.1	libXdamage.so.1.1.0	SINGLE-object:391916aff0965656e7b81ece	EXISTING_DIGEST_BOUND_UNCHANGED	sha256:462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	-	462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libXdamage.so.1.1.0	objects/sha256/39/391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	lib/libXdamage.so.1.1.0	lib/libXdamage.so.1	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-004	4	COMP-XORG-PROV-001	object:271e82cbc4aa3db8ff36ad44	XORG-PROV-001	libxfixes-glibc	6.0.1	libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	72968	libXfixes.so.3	lib/libXfixes.so.3.1.0	lib/libXfixes.so.3	libXfixes.so.3.1.0	SINGLE-object:271e82cbc4aa3db8ff36ad44	V101_INDEXED_REPLACEMENT	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	candidate/private-gtk-active-dependency-packages/libxfixes-glibc_6.0.1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	objects/sha256/27/271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	lib/libXfixes.so.3.1.0	lib/libXfixes.so.3	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-005	5	COMP-XORG-PROV-003	object:6f50cad56bb44c7900e69269	XORG-PROV-003	libxi-glibc	1.8.2	libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	146048	libXi.so.6	lib/libXi.so.6.1.0	lib/libXi.so.6	libXi.so.6.1.0	SINGLE-object:6f50cad56bb44c7900e69269	V101_INDEXED_REPLACEMENT	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	candidate/private-gtk-active-dependency-packages/libxi-glibc_1.8.2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	objects/sha256/6f/6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	lib/libXi.so.6.1.0	lib/libXi.so.6	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-006	6	COMP-XORG-PROV-004	object:bff931629d90ef6858b43e6f	XORG-PROV-004	libxinerama-glibc	1.1.5	libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	70832	libXinerama.so.1	lib/libXinerama.so.1.0.0	lib/libXinerama.so.1	libXinerama.so.1.0.0	SINGLE-object:bff931629d90ef6858b43e6f	V101_INDEXED_REPLACEMENT	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	candidate/private-gtk-active-dependency-packages/libxinerama-glibc_1.1.5_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	objects/sha256/bf/bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	lib/libXinerama.so.1.0.0	lib/libXinerama.so.1	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-007	7	COMP-ATSPI2-CORE-PROV-001-1	object:55c9c8a3767258bcc1d25640	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	198592	libatk-1.0.so.0	lib/libatk-1.0.so.0.25611.1	lib/libatk-1.0.so.0	libatk-1.0.so.0.25611.1	ATOMIC-ATSPI2-3	EXISTING_DIGEST_BOUND_UNCHANGED	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD	lib/libatk-1.0.so.0.25611.1	objects/sha256/55/55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	lib/libatk-1.0.so.0.25611.1	lib/libatk-1.0.so.0	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-008	8	COMP-ATSPI2-CORE-PROV-001-2	object:cce78fd50cb5b3a19bdc0461	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	267840	libatk-bridge-2.0.so.0	lib/libatk-bridge-2.0.so.0.0.0	lib/libatk-bridge-2.0.so.0	libatk-bridge-2.0.so.0.0.0	ATOMIC-ATSPI2-3	EXISTING_DIGEST_BOUND_UNCHANGED	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD	lib/libatk-bridge-2.0.so.0.0.0	objects/sha256/cc/cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	lib/libatk-bridge-2.0.so.0.0.0	lib/libatk-bridge-2.0.so.0	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-009	9	COMP-ATSPI2-CORE-PROV-001-3	object:e94f2980cf8580634d7ab3c4	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	330072	libatspi.so.0	lib/libatspi.so.0.0.1	lib/libatspi.so.0	libatspi.so.0.0.1	ATOMIC-ATSPI2-3	EXISTING_DIGEST_BOUND_UNCHANGED	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD	lib/libatspi.so.0.0.1	objects/sha256/e9/e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	lib/libatspi.so.0.0.1	lib/libatspi.so.0	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
MAT-OBJ-010	10	COMP-GDKPIXBUF-UTIL-PROV-001-2	object:21d47963d42a5b1c4008c88a	GDKPIXBUF-UTIL-PROV-001	libblkid-glibc	2.40.2-1	libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	396208	libblkid.so.1	lib/libblkid.so.1.1.0	lib/libblkid.so.1	libblkid.so.1.1.0	SINGLE-object:21d47963d42a5b1c4008c88a	EXISTING_DIGEST_BOUND_UNCHANGED	sha256:a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	-	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	objects/sha256/21/21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	lib/libblkid.so.1.1.0	lib/libblkid.so.1	SEPARATE_FUTURE_LOCAL_READ_ONLY_SUPPLY_MAP_BINDS_EXACT_REGULAR_FILE_PATH_OUTER_SHA_RESULT_INDEX_AND_CONTAINER_MEMBER_LOCATOR	STREAM_EXACT_MEMBER_TO_O_EXCL_NOFOLLOW_TEMP_VERIFY_SIZE_SHA_ELF_SONAME_THEN_FSYNC_CHMOD_0444_RENAME_TO_CONTENT_ADDRESS_NO_COPY_FALLBACK	CREATE_ONLY_AFTER_ALL_41_REGULARS_AND_ATOMIC_FAMILIES_VERIFY_RELATIVE_BASENAME_TARGET_NO_ABSOLUTE_OR_PARENT_COMPONENT	QUALIFIED_NON_EXECUTING_PLAN_ROW	READ_ONLY_DESIGN_ROW_ONLY_NO_LOCALIZATION_EXTRACTION_COPY_LINK_SYMLINK_OR_WRITE	PLAN_ROW_DOES_NOT_AUTHORIZE_PROVIDER_DOWNLOAD_LOCALIZATION_BYTE_READ_EXTRACTION_OBJECT_STORE_CREATION_GENERATION_WRITE_POPULATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
