composition_row_id	provider_review_id	artifact_package	member_basename	member_sha256	member_size	size_state	size_source_kind	size_source_ref	size_source_member_path	resource_budget_state	authority_effect
COMP-ATSPI2-CORE-PROV-001-1	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	198592	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libatk-1.0.so.0.25611.1	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-ATSPI2-CORE-PROV-001-2	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	267840	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libatk-bridge-2.0.so.0.0.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-ATSPI2-CORE-PROV-001-3	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	330072	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libatspi.so.0.0.1	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-CAIRO-PROV-001-1	CAIRO-PROV-001	libcairo-glibc	libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	1382952	EXACT	V101_INDEXED_PACKAGE_MEMBER	libcairo-glibc_1.18.2_aarch64	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-CAIRO-PROV-001-2	CAIRO-PROV-001	libcairo-glibc	libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	67312	EXACT	V101_INDEXED_PACKAGE_MEMBER	libcairo-glibc_1.18.2_aarch64	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FONTCONFIG-PROV-001	FONTCONFIG-PROV-001	fontconfig-glibc	libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	329624	EXACT	V101_INDEXED_PACKAGE_MEMBER	fontconfig-glibc_2.15.0-1_aarch64	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FREETYPE-PROV-001	FREETYPE-PROV-001	freetype-glibc	libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	788368	EXACT	V101_INDEXED_PACKAGE_MEMBER	freetype-glibc_2.13.3_aarch64	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FREETYPE-TRANSITIVE-BROTLI-COMMON-001	FREETYPE-TRANSITIVE-BROTLI-COMMON-001	brotli-glibc	libbrotlicommon.so.1.1.0	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	202136	EXACT	EXISTING_MEMBER_LOCK_SIZE	experiments/glibc/selected-obsidian-provider-authority/profiles/member-locks/gtk-font-device-compat-provider.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlicommon.so.1.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FREETYPE-TRANSITIVE-BROTLI-DEC-001	FREETYPE-TRANSITIVE-BROTLI-DEC-001	brotli-glibc	libbrotlidec.so.1.1.0	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	73192	EXACT	EXISTING_MEMBER_LOCK_SIZE	experiments/glibc/selected-obsidian-provider-authority/profiles/member-locks/gtk-font-device-compat-provider.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlidec.so.1.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FREETYPE-TRANSITIVE-LIBBZ2-001	FREETYPE-TRANSITIVE-LIBBZ2-001	libbz2-glibc	libbz2.so.1.0.8	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	76312	EXACT	EXISTING_MEMBER_LOCK_SIZE	experiments/glibc/selected-obsidian-provider-authority/profiles/member-locks/gtk-font-device-compat-provider.tsv	data/data/com.termux/files/usr/glibc/lib/libbz2.so.1.0.8	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
