key	value
schema_version	1
review_id	PIXMAN-SIZE-RESOURCE-INTERVENTION-001
decision	INTERVENTION_CONDITIONALLY_LIFTED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY
pixman_result_sha256	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a
pixman_member_sha256	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2
pixman_member_size_bytes	460920
exact_member_size_count	41
open_member_size_count	0
exact_member_bytes	29047112
receipt_prototype_sha256	b5e375cef8a47aac3fd298ef855ba0fd179942a005efc6a96817ab3bb9630b79
receipt_prototype_bytes	44332
receipt_reservation_rule	MAX_1048576_NEXT_POWER_OF_TWO_CANONICAL_PROTOTYPE_BYTES
receipt_overhead_budget_bytes	1048576
receipt_headroom_bytes	1004244
receipt_overflow_policy	ABORT_BEFORE_GENERATION_PUBLICATION
member_100_percent_margin_bytes	58094224
minimum_floor_bytes	16777216
final_resource_preflight_bytes	59142800
prerequisite_count	10
design_review_satisfied_count	10
intervention_state	CONDITIONALLY_LIFTED_FOR_READ_ONLY_MATERIALIZER_DESIGN_REVIEW_ONLY
materializer_design_authorized	YES_READ_ONLY_DESIGN_REVIEW_ONLY
target_population_authorized	NO
byte_acquisition_authorized	NO
generation_root_creation_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
next_action	design-read-only-selected-provider-materializer-and-runtime-preflight-contract
authority_effect	READ_ONLY_MATERIALIZER_DESIGN_REVIEW_GATE_OPEN_ONLY_NO_RUNTIME_OR_FILESYSTEM_AUTHORITY
