binding_row_id	provider_review_id	artifact_package	member_basename	member_sha256	prior_binding_state	retained_result_remote	drive_file_id	retained_result_sha256	result_archive_title	result_transaction_state	result_index_state	coordinate_review_state	verification_upgrade_state	blocker_ids	authority_effect	prohibited_inference
SUPPLY-BIND-493041e6ec5e7f03	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	QUALIFIED_READ_ONLY_BINDING_INPUT	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_BOUND_RESULT	TRANSACTION_RC_0_VERIFIED	EXISTING_DIGEST_BOUND_AUTHORITY_INPUT	RETAINED_RESULT_DIGEST_ALREADY_BOUND	NONE	-	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-8aa95a08e780217b	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	QUALIFIED_READ_ONLY_BINDING_INPUT	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_BOUND_RESULT	TRANSACTION_RC_0_VERIFIED	EXISTING_DIGEST_BOUND_AUTHORITY_INPUT	RETAINED_RESULT_DIGEST_ALREADY_BOUND	NONE	-	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-ae7a81c8d6a30999	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	QUALIFIED_READ_ONLY_BINDING_INPUT	sha256:461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	EXISTING_AUTHORITY_DIGEST_BOUND_RESULT	TRANSACTION_RC_0_VERIFIED	EXISTING_DIGEST_BOUND_AUTHORITY_INPUT	RETAINED_RESULT_DIGEST_ALREADY_BOUND	NONE	-	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-44b8d162ea1c734a	CAIRO-PROV-001	libcairo-glibc	libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	QUALIFIED_READ_ONLY_BINDING_INPUT	sha256:3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	-	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	EXISTING_AUTHORITY_DIGEST_BOUND_RESULT	TRANSACTION_RC_0_VERIFIED	EXISTING_DIGEST_BOUND_AUTHORITY_INPUT	RETAINED_RESULT_DIGEST_ALREADY_BOUND	NONE	-	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-a2979ff419af5a60	CAIRO-PROV-001	libcairo-glibc	libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	QUALIFIED_READ_ONLY_BINDING_INPUT	sha256:3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	-	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	EXISTING_AUTHORITY_DIGEST_BOUND_RESULT	TRANSACTION_RC_0_VERIFIED	EXISTING_DIGEST_BOUND_AUTHORITY_INPUT	RETAINED_RESULT_DIGEST_ALREADY_BOUND	NONE	-	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-64a28e205a1eefdc	FONTCONFIG-PROV-001	fontconfig-glibc	libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	BLOCKED_RESULT_COORDINATE_MISSING	-	-	-	-	NOT_VERIFIED	NOT_AVAILABLE	RETAINED_RESULT_COORDINATE_MISSING	COORDINATE_DISCOVERY_REQUIRED	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-b832db3adf14b21d	FREETYPE-PROV-001	freetype-glibc	libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	BLOCKED_RESULT_COORDINATE_MISSING	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	TRANSACTION_RC_0_VERIFIED	LEGACY_RESULT_INDEX_ABSENT	DRIVE_COORDINATE_AND_OUTER_SHA_BOUND	RESULT_INDEX_UPGRADE_REQUIRED	SUPPLY-BYTE-BINDING-OPEN;LEGACY-RESULT-INDEX-UPGRADE-OPEN	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-af121b4ed34df443	FREETYPE-TRANSITIVE-BROTLI-COMMON-001	brotli-glibc	libbrotlicommon.so.1.1.0	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	BLOCKED_RESULT_COORDINATE_MISSING	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	TRANSACTION_RC_0_VERIFIED	LEGACY_RESULT_INDEX_ABSENT	DRIVE_COORDINATE_AND_OUTER_SHA_BOUND	RESULT_INDEX_UPGRADE_REQUIRED	SUPPLY-BYTE-BINDING-OPEN;LEGACY-RESULT-INDEX-UPGRADE-OPEN	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-3f3a0f569058f90d	FREETYPE-TRANSITIVE-BROTLI-DEC-001	brotli-glibc	libbrotlidec.so.1.1.0	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	BLOCKED_RESULT_COORDINATE_MISSING	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	TRANSACTION_RC_0_VERIFIED	LEGACY_RESULT_INDEX_ABSENT	DRIVE_COORDINATE_AND_OUTER_SHA_BOUND	RESULT_INDEX_UPGRADE_REQUIRED	SUPPLY-BYTE-BINDING-OPEN;LEGACY-RESULT-INDEX-UPGRADE-OPEN	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-b43550bf0705e5f8	FREETYPE-TRANSITIVE-LIBBZ2-001	libbz2-glibc	libbz2.so.1.0.8	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	BLOCKED_RESULT_COORDINATE_MISSING	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	TRANSACTION_RC_0_VERIFIED	LEGACY_RESULT_INDEX_ABSENT	DRIVE_COORDINATE_AND_OUTER_SHA_BOUND	RESULT_INDEX_UPGRADE_REQUIRED	SUPPLY-BYTE-BINDING-OPEN;LEGACY-RESULT-INDEX-UPGRADE-OPEN	READ_ONLY_COORDINATE_METADATA_ONLY_NO_ACQUISITION_EXTRACTION_COPY_OR_POPULATION	COORDINATE_OR_OUTER_SHA_DOES_NOT_AUTHORIZE_PROVIDER_BYTE_DOWNLOAD_EXTRACTION_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
