binding_row_id	composition_row_id	provider_review_id	artifact_package	artifact_version	member_basename	member_sha256	soname	authority_source	supply_artifact_kind	supply_artifact_sha256	archive_member_path	retained_result_sha256	acquisition_verification_state	binding_state	blocker_ids	authority_effect	prohibited_inference
SUPPLY-BIND-493041e6ec5e7f03	COMP-ATSPI2-CORE-PROV-001-1	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-1.0.so.0.25611.1	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	libatk-1.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/at-spi2-core-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	lib/libatk-1.0.so.0.25611.1	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-8aa95a08e780217b	COMP-ATSPI2-CORE-PROV-001-2	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatk-bridge-2.0.so.0.0.0	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	libatk-bridge-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/at-spi2-core-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	lib/libatk-bridge-2.0.so.0.0.0	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-ae7a81c8d6a30999	COMP-ATSPI2-CORE-PROV-001-3	ATSPI2-CORE-PROV-001	at-spi2-core-glibc	2.56.2	libatspi.so.0.0.1	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	libatspi.so.0	experiments/glibc/selected-obsidian-provider-authority/review/at-spi2-core-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	lib/libatspi.so.0.0.1	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-44b8d162ea1c734a	COMP-CAIRO-PROV-001-1	CAIRO-PROV-001	libcairo-glibc	1.18.2	libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	libcairo.so.2	experiments/glibc/selected-obsidian-provider-authority/review/cairo-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-a2979ff419af5a60	COMP-CAIRO-PROV-001-2	CAIRO-PROV-001	libcairo-glibc	1.18.2	libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	libcairo-gobject.so.2	experiments/glibc/selected-obsidian-provider-authority/review/cairo-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-64a28e205a1eefdc	COMP-FONTCONFIG-PROV-001	FONTCONFIG-PROV-001	fontconfig-glibc	2.15.0-1	libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	libfontconfig.so.1	experiments/glibc/selected-obsidian-provider-authority/review/fontconfig-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-b832db3adf14b21d	COMP-FREETYPE-PROV-001	FREETYPE-PROV-001	freetype-glibc	2.13.3	libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	libfreetype.so.6	experiments/glibc/selected-obsidian-provider-authority/review/freetype-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	8e1d9d34f13c6c95aba5e9a5f636facc94e0ca7c073f68cf605858a499a54e7b	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-af121b4ed34df443	COMP-FREETYPE-TRANSITIVE-BROTLI-COMMON-001	FREETYPE-TRANSITIVE-BROTLI-COMMON-001	brotli-glibc	1.1.0	libbrotlicommon.so.1.1.0	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	libbrotlicommon.so.1	experiments/glibc/selected-obsidian-provider-authority/review/freetype-transitive-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	/data/data/com.termux/files/usr/glibc/lib/libbrotlicommon.so.1.1.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-3f3a0f569058f90d	COMP-FREETYPE-TRANSITIVE-BROTLI-DEC-001	FREETYPE-TRANSITIVE-BROTLI-DEC-001	brotli-glibc	1.1.0	libbrotlidec.so.1.1.0	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	libbrotlidec.so.1	experiments/glibc/selected-obsidian-provider-authority/review/freetype-transitive-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	/data/data/com.termux/files/usr/glibc/lib/libbrotlidec.so.1.1.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-b43550bf0705e5f8	COMP-FREETYPE-TRANSITIVE-LIBBZ2-001	FREETYPE-TRANSITIVE-LIBBZ2-001	libbz2-glibc	1.0.8-3	libbz2.so.1.0.8	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	libbz2.so.1.0	experiments/glibc/selected-obsidian-provider-authority/review/freetype-transitive-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	984f6f80b4cd115d8adf99aee79f3cbbc5c073bc1fc708e8decd0a13323df4f0	/data/data/com.termux/files/usr/glibc/lib/libbz2.so.1.0.8	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
